Employee_No,Title,Gender,Marital_Status,Date_Joined,Date_Resigned,Status,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Hourly_Time,Late_minutes,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual,Earnings,Total Fixed,Year_Joined,Resigned_Age,Worked_Duration
391,Mr,Male,Married,2013-01-24,2019-11-14,Inactive,Staff,Contarct Basis,Buddhist,Driver-Tractor,1960,,,,,,,,,2013,59.0,6.0
392,Mr,Male,Married,2013-02-05,,Active,Staff,Contarct Basis,Muslim,Technical Officer,1989,10.841727493917274,40.79578264395782,,,,,47049.22352941177,40326.470588235294,2013,,
393,Mr,Male,Married,2013-04-01,,Active,Staff,Contarct Basis,Muslim,Project Manager,1965,11.395741811175338,14.556165703275529,6.0,0.0,5.0,1.0,149048.1670588235,136817.64705882352,2013,,
394,Mr,Male,Married,2013-06-27,2021-12-17,Inactive,Staff,Contarct Basis,Buddhist,Operator - Crane,1993,12.091730769230768,51.47590811965812,,,,,33639.832,18600.0,2013,28.0,8.0
396,Mr,Male,Single,2013-08-21,,Active,Staff,Contarct Basis,Buddhist,Operator - Loader,1993,10.694468503937008,42.919258530183725,,,,,34045.44294117647,25094.117647058825,2013,,
399,Mr,Male,Married,2014-01-28,2021-08-31,Inactive,Staff,Contarct Basis,Hindu,Supervisor,1989,13.34,20.508474576271187,,,,,49979.525,28250.0,2014,32.0,7.0
400,Mr,Male,Single,2014-01-24,,Active,Staff,Contarct Basis,Hindu,Supervisor,1988,13.743864661654136,55.65431077694236,,,,,54733.18411764706,27479.41176470588,2014,,
401,Mr,Male,Married,2014-02-25,,Active,Staff,Contarct Basis,Buddhist,Store Keeper,1972,11.432103174603174,34.57142857142857,,,,,45375.18176470588,32229.41176470588,2014,,
402,Mr,Male,Single,2014-02-22,2020-08-31,Inactive,Staff,Contarct Basis,Buddhist,Driver,1995,0.002,537.2166666666667,,,,,,,2014,25.0,6.0
403,Mr,Male,Married,2014-05-03,2020-08-28,Inactive,Staff,Contarct Basis,Buddhist,Operator - JCB,1992,,,,,,,,,2014,28.0,6.0
404,Mr,Male,Single,2014-06-04,,Active,Staff,Contarct Basis,Buddhist,Engineer Assistant,1987,11.37279197080292,19.56846107055961,,,,,92074.258125,90031.25,2014,,
405,Mr,Male,Married,2014-06-09,2019-12-05,Inactive,Staff,Contarct Basis,Buddhist,Supervisor,1986,,,,,,,,,2014,33.0,5.0
407,Mr,Male,Single,2014-09-17,2020-06-22,Inactive,Staff,Contarct Basis,Hindu,Quantity Surveyor,1990,,,,,,,,,2014,30.0,6.0
408,Mr,Male,Single,2014-10-01,,Active,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990,10.56049504950495,47.62502750275028,,,,,67445.44470588236,53264.705882352944,2014,,
410,Mr,Male,Single,2015-02-05,2021-05-30,Inactive,Staff,Contarct Basis,Buddhist,Moter Mechanic,1995,10.8172,50.75166666666667,,,,,,,2015,26.0,6.0
411,Mr,Male,Married,2015-04-28,,Active,Staff,Contarct Basis,Buddhist,Driver,1978,13.081723122238586,54.65363279332352,,,,,42325.67999999999,19400.0,2015,,
413,Mr,Male,Single,2015-05-01,2021-08-31,Inactive,Staff,Contarct Basis,Buddhist,Operator-Excavator,1997,11.379952380952382,36.3802380952381,,,,,29106.74,19650.0,2015,24.0,6.0
414,Mr,Male,Single,2016-06-02,2020-10-06,Inactive,Staff,Contarct Basis,Hindu,Lab Technician,1985,,,,,,,,,2016,35.0,4.0
415,Mr,Male,Married,2015-06-01,2021-07-25,Inactive,Staff,Contarct Basis,Catholic,Engineer Assistant,1982,12.889662162162162,10.071171171171173,,,,,96045.75,70750.0,2015,39.0,6.0
416,Mr,Male,Married,2015-06-01,2021-03-25,Inactive,Staff,Contarct Basis,Hindu,Supervisor,1986,11.037868852459017,29.733060109289617,,,,,,,2015,35.0,6.0
419,Mr,Male,Married,2015-08-24,2021-05-31,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1988,6.674444444444445,27.183703703703703,,,,,,,2015,33.0,6.0
420,Mr,Male,Married,2015-09-01,,Active,Staff,Contarct Basis,Buddhist,Driver,1995,12.47789291882556,53.44064478986759,,,,,38436.47823529412,18400.0,2015,,
421,Mr,Male,Single,2016-01-02,2022-08-31,Inactive,Staff,Contarct Basis,Buddhist,Driver,1997,12.236100795755968,57.84160035366932,17.0,4.0,14.0,7.0,40618.162142857145,24214.285714285717,2016,25.0,6.0
422,Ms,Female,Married,2016-02-05,2021-04-30,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1981,,,,,,,,,2016,40.0,5.0
423,Mr,Male,Married,2016-05-12,,Active,Staff,Contarct Basis,Buddhist,Driver - Truck Mixture,1987,10.93391472868217,97.58359173126614,15.0,9.0,16.0,8.0,47169.30611111111,22955.555555555555,2016,,
424,Mr,Male,Single,2016-05-26,2021-08-31,Inactive,Staff,Contarct Basis,Buddhist,Driver,1988,13.031583333333334,32.95,,,,,31901.255,18950.0,2016,33.0,5.0
425,Mr,Male,Married,2016-08-15,2022-08-31,Inactive,Staff,Contarct Basis,Buddhist,Office Assistant,1965,8.971626213592232,16.979045307443364,13.0,3.0,11.0,5.0,44854.62071428571,40285.71428571428,2016,57.0,6.0
426,Mr,Male,Married,2020-07-03,2021-10-26,Inactive,Staff,Contarct Basis,Buddhist,Sociologist,1962,8.326788321167884,5.635766423357665,,,,,71800.0,71800.0,2020,59.0,1.0
427,Ms,Female,Married,2016-09-15,,Active,Staff,Contarct Basis,Buddhist,Draughtsman,1980,9.093161904761905,25.925809523809523,,,,,82400.30055555556,73000.0,2016,,
431,Mr,Male,Married,2019-01-01,,Active,Labour,Contarct Basis,Buddhist,S/Skill,1947,11.153083197389886,2.1314301250679715,,,,,34845.54,0.0,2019,,
433,Mr,Male,Married,2016-11-01,2022-09-27,Inactive,Staff,Contarct Basis,Buddhist,Junior Quantity Surveyor,1993,9.570353982300883,10.168067846607668,,,,,38073.0,32000.0,2016,29.0,6.0
434,Mr,Male,Married,2016-11-28,2021-06-30,Inactive,Staff,Contarct Basis,Buddhist,Safety Officer,1972,9.92464566929134,4.340944881889763,,,,,,,2016,49.0,5.0
435,Mr,Male,Single,2016-12-15,,Active,Staff,Contarct Basis,Buddhist,Technical Officer,1988,11.615707154742095,38.439794786467,,,,,65682.78529411765,47029.41176470588,2016,,
436,Mr,Male,Married,2016-12-15,,Active,Staff,Contarct Basis,Hindu,Supervisor,1981,11.688853383458648,38.659774436090224,,,,,62963.12,46800.0,2016,,
437,Mr,Male,Married,2016-12-19,2021-12-22,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1991,8.425354330708661,18.25853018372704,7.0,3.0,10.0,0.0,87571.25,85000.0,2016,30.0,5.0
438,Mr,Male,Single,2017-01-16,,Active,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1991,9.706842105263158,60.1645795523291,,,,,64051.894117647054,51029.41176470588,2017,,
440,Mr,Male,Single,2017-01-10,,Active,Staff,Contarct Basis,Buddhist,Operation Executive,1981,9.106674107142856,12.016183035714286,14.0,13.0,16.0,11.0,59686.19777777778,57666.66666666666,2017,,
443,Miss,Female,Single,2017-01-30,2021-08-20,Inactive,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1989,9.25504347826087,19.11173913043478,,,,,0.0,0.0,2017,32.0,4.0
444,Mr,Male,Married,2017-02-16,2020-10-31,Inactive,Staff,Contarct Basis,Buddhist,Project Manager,1966,,,,,,,,,2017,54.0,3.0
446,Mr,Male,Married,2019-01-01,2021-05-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1955,9.004117647058823,0.0859477124183006,,,,,20537.75,0.0,2019,66.0,2.0
448,Mr,Male,Married,2019-01-01,2020-12-10,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1966,,,,,,,23972.666666666668,0.0,2019,54.0,1.0
450,Mr,Male,Married,2020-12-03,2021-04-09,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976,11.39108108108108,0.0,,,,,17861.5,0.0,2020,45.0,1.0
451,Mr,Male,Single,2017-03-01,2020-02-29,Inactive,Management,Contarct Basis,Buddhist,Technical Officer,1985,,,,,,,,,2017,35.0,3.0
453,Mr,Male,Married,2017-03-23,,Active,Staff,Contarct Basis,Buddhist,Store Keeper,1961,13.306477064220182,7.713272171253823,,,,,60051.73705882353,41800.0,2017,,
455,Mr,Male,Single,2017-03-27,2022-02-19,Inactive,Staff,Contarct Basis,Hindu,Junior Technical Officer,1993,11.486972789115647,42.550113378684806,,,,,56615.02857142857,42214.28571428572,2017,29.0,5.0
456,Mr,Male,Married,2019-01-01,2020-03-31,Inactive,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1976,,,,,,,,,2019,44.0,1.0
457,Mr,Male,Married,2020-06-01,2020-09-25,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967,,,,,,,,,2020,53.0,0.0
460,Mr,Male,Married,2020-03-01,2020-03-31,Inactive,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,1955,,,,,,,,,2020,65.0,0.0
461,Mr,Male,Married,2019-01-01,2021-06-01,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1976,12.5625,0.0,,,,,47351.25,0.0,2019,45.0,2.0
466,Mr,Male,Married,2019-01-01,2022-05-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1976,12.063314606741573,7.63441011235955,,,,,29661.057142857146,0.0,2019,46.0,3.0
468,Mr,Male,Married,2019-01-01,,Active,Labour,Contarct Basis,Hindu,Unskilled Labor,1976,10.758181818181818,3.8509161381254406,,,,,44921.66,0.0,2019,,
471,Mr,Male,Single,2021-04-01,2022-02-28,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1992,10.101043478260868,1.6052898550724637,,,,,44518.477777777785,0.0,2021,30.0,1.0
475,Mr,Male,Married,2019-01-01,2020-11-28,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1959,,,,,,,19741.6,0.0,2019,61.0,1.0
476,Mr,Male,Married,2017-04-03,2021-11-27,Inactive,Staff,Contarct Basis,Muslim,Technical Officer,1985,9.195413533834586,33.93107769423559,,,,,67028.0475,61000.0,2017,36.0,4.0
478,Ms,Female,Married,2017-05-15,2020-08-30,Inactive,Staff,Contarct Basis,Buddhist,Data Entry Operator,1992,,,,,,,,,2017,28.0,3.0
480,Mr,Male,Married,2017-07-06,2020-04-03,Inactive,Staff,Contarct Basis,Hindu,Site Supervisor,1989,,,,,,,,,2017,31.0,3.0
481,Ms,Female,Single,2017-06-05,,Active,Staff,Contarct Basis,Buddhist,Autocad Draughtsman ,1984,9.356953907815631,32.6314963259853,1.0,1.0,0.0,2.0,67734.1288888889,62361.11111111111,2017,,
482,Mr,Male,Married,2017-06-19,2021-05-23,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1986,9.713191489361702,30.053900709219864,,,,,,,2017,35.0,4.0
486,Mr,Male,Married,2021-02-01,2022-05-04,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1976,9.953628318584071,0.3350294985250737,,,,,25390.35714285714,0.0,2021,46.0,1.0
487,Mr,Male,Married,2019-01-01,,Active,Labour,Contarct Basis,Buddhist,Mason,1992,10.000821678321678,5.191841491841491,,,,,76134.04000000001,0.0,2019,,
490,Mr,Male,Single,2019-01-01,2020-12-31,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1995,,,,,,,,,2019,25.0,1.0
495,Mr,Male,Married,2019-01-01,,Active,Labour,Contarct Basis,Buddhist,Cook,1957,15.013251417769377,2.338972904851922,,,,,42054.28571428572,0.0,2019,,
496,Mr,Male,Married,2017-07-01,,Active,Staff,Contarct Basis,Buddhist,Technical Officer,1988,10.82495575221239,34.574837758112096,,,,,66273.19294117647,51941.17647058824,2017,,
501,Mr,Male,Married,2020-12-07,2021-10-31,Inactive,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958,9.540511695906432,33.672441520467835,,,,,35849.42857142857,0.0,2020,63.0,1.0
504,Mr,Male,Married,2019-01-01,2021-03-02,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1991,11.639375,23.1578125,,,,,23270.6,0.0,2019,30.0,2.0
505,Mr,Male,Married,2017-08-28,2021-06-30,Inactive,Staff,Contarct Basis,Buddhist,Driver-Tractor,1959,12.000277777777775,56.34861111111111,,,,,,,2017,62.0,4.0
508,Mr,Male,Married,2017-09-09,2020-05-30,Inactive,Staff,Contarct Basis,Buddhist,Driver,1986,,,,,,,,,2017,34.0,3.0
509,Ms,Female,Married,2017-09-15,2020-03-13,Inactive,Staff,Contarct Basis,Hindu,Quantity Surveyor,1993,,,,,,,,,2017,27.0,3.0
510,Mr,Male,Single,2017-09-15,2022-02-10,Inactive,Staff,Contarct Basis,Hindu,Quantity Surveyor,1991,8.59239819004525,38.51282051282052,,,,,91697.42666666668,91000.0,2017,31.0,5.0
512,Mr,Male,Single,2017-10-02,2020-06-12,Inactive,Staff,Contarct Basis,Buddhist,Driver,1994,,,,,,,,,2017,26.0,3.0
514,Ms,Female,Single,2017-11-01,2021-01-18,Inactive,Staff,Contarct Basis,Buddhist,Design Engineer,1994,,,,,,,,,2017,27.0,4.0
515,Mr,Male,Single,2017-12-22,2020-10-21,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1992,,,,,,,,,2017,28.0,3.0
516,Mr,Male,Single,2018-01-15,,Active,Staff,Contarct Basis,Buddhist,IT Executive,1990,8.635032397408207,27.284521238300936,25.0,9.0,11.0,23.0,43884.18555555555,39666.66666666666,2018,,
517,Ms,Female,Single,2018-01-15,,Active,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1993,8.68452606635071,12.063151658767772,15.0,28.0,34.0,9.0,82595.85277777778,78222.22222222222,2018,,
520,Mr,Male,Married,2019-01-01,2020-06-30,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1976,,,,,,,,,2019,44.0,1.0
521,Mr,Male,Married,2019-01-01,2020-11-30,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1976,,,,,,,47876.35,0.0,2019,44.0,1.0
523,Ms,Female,Married,2019-01-01,,Active,Labour,Contarct Basis,Buddhist,Unskilled Labor,1970,9.157142857142857,0.0039455782312925,,,,,19111.11111111111,0.0,2019,,
532,Mr,Male,Married,2019-01-09,2020-12-31,Inactive,Labour,Contarct Basis,Buddhist,Skilled Labor,1994,,,,,,,52500.0,0.0,2019,26.0,1.0
534,Mr,Male,Single,2019-01-01,2022-01-12,Inactive,Labour,Contarct Basis,Hindu,Unskilled Labor,1997,10.736547085201794,15.676083707025413,,,,,27196.0,0.0,2019,25.0,3.0
536,Mr,Male,Single,2018-02-16,2021-02-28,Inactive,Staff,Contarct Basis,Muslim,Site Supervisor,1997,7.534000000000001,10.4,,,,,,,2018,24.0,3.0
537,Mr,Male,Single,2018-02-22,,Active,Staff,Contarct Basis,Buddhist,Social Environment Officer,1991,11.444122287968442,25.13852728468113,,,,,80731.70294117647,61000.0,2018,,
538,Mr,Male,Single,2018-04-18,2020-08-11,Inactive,Staff,Contarct Basis,Muslim,Supervisor,1994,,,,,,,,,2018,26.0,2.0
539,Mr,Male,Single,2018-04-20,2020-05-31,Inactive,Staff,Contarct Basis,Buddhist,Operator - JCB,1993,,,,,,,,,2018,27.0,2.0
540,Ms,Female,Single,2019-10-02,2020-06-30,Inactive,Staff,Contarct Basis,Buddhist,Trainee QS,1995,,,,,,,,,2019,25.0,1.0
541,Miss,Female,Single,2019-10-22,2020-08-31,Inactive,Staff,Contarct Basis,Buddhist,Management Trainee,1994,,,,,,,,,2019,26.0,1.0
545,Mr,Male,Single,2019-04-22,,Active,Staff,Contarct Basis,Buddhist,Planning Engineer,1990,11.823933333333336,36.61222222222222,8.0,4.0,1.0,11.0,121289.52235294116,120029.41176470587,2019,,
546,Mr,Male,Married,2019-06-06,2020-06-19,Inactive,Management,Contarct Basis,Buddhist,Foreman,1978,,,,,,,,,2019,42.0,1.0
549,Mr,Male,Single,2020-12-05,2021-05-31,Inactive,Staff,Contarct Basis,Buddhist,Excavator Operator,2001,15.5,0.0,,,,,27028.8,0.0,2020,20.0,1.0
550,Mr,Male,Married,2019-09-01,2022-12-31,Inactive,Staff,Contarct Basis,Buddhist,Driver,1973,11.38903420523139,42.90382293762576,7.0,2.0,0.0,9.0,70839.09722222222,43666.66666666666,2019,49.0,3.0
551,Ms,Female,Single,2019-10-14,,Active,Staff,Contarct Basis,Buddhist,Store Supervisor,1984,8.678160173160173,11.707070707070708,22.0,8.0,20.0,10.0,46611.11111111111,46611.11111111111,2019,,
553,Mr,Male,Single,2019-10-25,2020-03-10,Inactive,Staff,Contarct Basis,Buddhist,Account Executive,1996,,,,,,,,,2019,24.0,1.0
554,Mr,Male,Single,2018-07-19,2020-07-17,Inactive,Staff,Contarct Basis,Buddhist,Assistant Accountant,1992,,,,,,,,,2018,28.0,2.0
556,Mr,Male,Married,2018-11-01,2022-07-20,Inactive,Management,Contarct Basis,Buddhist,Manager Finance & Operations,1976,8.5407,32.302277777777775,22.0,9.0,19.0,12.0,,,2018,46.0,4.0
557,Mr,Male,Married,2018-11-01,,Active,Management,Contarct Basis,Buddhist,Chief Operating Officer,1972,3.265,165.82083333333335,8.0,4.0,5.0,7.0,0.0,0.0,2018,,
558,Mr,Male,Married,2018-11-01,,Active,Management,Contarct Basis,Buddhist,Chief Executive Officer,1976,,,,,,,,,2018,,
560,Mr,Male,Single,2018-12-18,2020-08-31,Inactive,Staff,Contarct Basis,Buddhist,Helper - Lorry,1995,,,,,,,,,2018,25.0,2.0
561,Ms,Female,Married,2019-01-21,2020-12-04,Inactive,Staff,Contarct Basis,Buddhist,HR Executive,1992,,,,,,,,,2019,28.0,1.0
562,Mr,Male,Single,2019-03-11,2020-12-05,Inactive,Staff,Contarct Basis,Buddhist,Trainee QS,1998,,,,,,,,,2019,22.0,1.0
563,Mr,Male,Single,2019-03-11,2020-06-10,Inactive,Staff,Contarct Basis,Buddhist,Trainee QS,1997,,,,,,,,,2019,23.0,1.0
565,Mr,Male,Single,2019-05-15,2021-09-18,Inactive,Staff,Contarct Basis,Buddhist,Operation Executive,1995,7.926733333333333,16.310333333333336,,,,,41000.0,41000.0,2019,26.0,2.0
569,Mr,Male,Married,2019-06-03,2021-09-20,Inactive,Management,Contarct Basis,Buddhist,Construction Manager,1966,8.78207650273224,6.514936247723133,,,,,,,2019,55.0,2.0
570,Mr,Male,Single,2019-06-12,2020-10-28,Inactive,Staff,Contarct Basis,Catholic,Store Executive,1985,,,,,,,,,2019,35.0,1.0
572,Ms,Female,Married,2019-08-05,2021-02-28,Inactive,Staff,Contarct Basis,Buddhist,HR Executive,1990,4.15,24.8,,,,,,,2019,31.0,2.0
573,Mr,Male,Single,2019-09-05,2021-05-31,Inactive,Staff,Contarct Basis,Buddhist,Driver,1992,9.308571428571428,92.32755102040817,,,,,,,2019,29.0,2.0
574,Ms,Female,Married,2019-11-01,2020-06-12,Inactive,Staff,Contarct Basis,Buddhist,Accountant,1983,,,,,,,,,2019,37.0,1.0
576,Ms,Female,Single,2020-08-01,2020-12-12,Inactive,Staff,Contarct Basis,Buddhist,HR Assistant,1999,,,,,,,,,2020,21.0,0.0
582,Mr,Male,Married,1999-07-12,,Active,Staff,Permanant,Buddhist,Technical Officer,1965,10.752906137184114,32.18589049338147,,,,,102022.61058823529,77485.29411764706,1999,,
583,Mr,Male,Married,2003-09-29,,Active,Staff,Permanant,Buddhist,Store Keeper,1981,12.487820945945948,51.923789414414415,,,,,81585.20705882354,51905.882352941175,2003,,
584,Mr,Male,Married,2019-08-10,,Active,Staff,Contarct Basis,Buddhist,Engineer Assistant,1988,10.848522829509673,33.937179487179485,,,,,80826.10294117648,65000.0,2019,,
585,Mr,Male,Married,2019-08-05,2020-08-15,Inactive,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990,,,,,,,,,2019,30.0,1.0
586,Mr,Male,Married,2019-08-01,2020-06-13,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1978,,,,,,,,,2019,42.0,1.0
589,Mr,Male,Married,2019-08-01,2020-11-19,Inactive,Staff,Contarct Basis,Buddhist,Engineer Assistant,1961,,,,,,,,,2019,59.0,1.0
590,Mr,Male,Single,2019-08-01,2019-12-31,Inactive,Staff,Contarct Basis,Muslim,Technical Officer,1993,,,,,,,,,2019,26.0,0.0
591,Mr,Male,Single,2019-08-01,2019-12-14,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1995,,,,,,,,,2019,24.0,0.0
592,Mr,Male,Single,2019-08-15,2020-01-31,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1991,,,,,,,,,2019,29.0,1.0
594,Mr,Male,Single,2019-08-02,2019-12-07,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1992,,,,,,,,,2019,27.0,0.0
595,Mr,Male,Married,2019-08-01,2019-11-30,Inactive,Staff,Contarct Basis,Buddhist,Supervisor,1993,,,,,,,,,2019,26.0,0.0
596,Mr,Male,Single,2019-08-22,,Active,Staff,Contarct Basis,Buddhist,Technical Officer,1991,9.230690978886756,59.84203454894434,2.0,2.0,0.0,4.0,57386.125,46027.77777777778,2019,,
597,Ms,Female,Single,2019-12-01,,Active,Staff,Contarct Basis,Buddhist,Business Analyst,1988,8.624509018036072,11.886706746826988,20.0,18.0,28.0,10.0,75000.0,75000.0,2019,,
599,Mr,Male,Married,2020-01-13,2020-06-24,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1961,,,,,,,,,2020,59.0,0.0
601,Ms,Female,Single,2020-01-27,2021-11-26,Inactive,Staff,Contarct Basis,Buddhist,Draughtsman,1996,8.37515625,14.083072916666667,,,,,25351.5625,25000.0,2020,25.0,1.0
603,Mr,Male,Single,2020-01-06,2020-01-31,Inactive,Staff,Contarct Basis,Hindu,Technical Officer,1993,,,,,,,,,2020,27.0,0.0
604,Mr,Male,Married,2020-01-13,2021-07-30,Inactive,Staff,Contarct Basis,Buddhist,Site Engineer,1981,8.884897959183673,17.970408163265304,,,,,85000.0,85000.0,2020,40.0,1.0
605,Mr,Male,Married,2019-12-02,2020-09-18,Inactive,Staff,Contarct Basis,Buddhist,Project Manager,1984,,,,,,,,,2019,36.0,1.0
